gid,entity_nam,reference1,gmrotation,lat,lng,
21888342,Bokplaas                                                                                                                                              ,2426DC_1            ,0,-24.79468,26.52352,
21888348,Bokplaas                                                                                                                                              ,2426DA_22           ,0,-24.74953,26.57091,
21837832,Helderfontein                                                                                                                                         ,2429AA_3            ,0,-24.01368,29.11714,
21837971,Maricodrif                                                                                                                                            ,2426BC_18           ,0,-24.41721,26.6282,
21837977,Jakkalskraal                                                                                                                                          ,2426BC_19           ,0,-24.40237,26.6531,
21837963,Schoongesicht                                                                                                                                         ,2426BC_18           ,0,-24.41502,26.60726,
21837985,Maricowater                                                                                                                                           ,2426BC_10           ,0,-24.3338,26.71676,
21888355,Kayaseput                                                                                                                                             ,2426DC_2            ,0,-24.75185,26.56727,
21879519,Merino Walk                                                                                                                                           ,2426DA_2            ,0,-24.52992,26.55484,
21888362,Kayaseput                                                                                                                                             ,2426DA_22           ,0,-24.74944,26.57045,
21877953,Middelveld                                                                                                                                            ,2426DA_9            ,0,-24.59958,26.66437,
21878235,Middelveld                                                                                                                                            ,2426DA_14           ,0,-24.60901,26.66331,
21878458,Buffelsdoorn                                                                                                                                          ,2426DA_7            ,0,-24.56791,26.55759,
21879050,Buffelsdoorn                                                                                                                                          ,2426DA_6            ,0,-24.55484,26.5496,
21886914,Weltevrede                                                                                                                                            ,2429CC_6            ,0,-24.82717,29.04571,
21886981,Gelykdoorm                                                                                                                                            ,2429CC_13           ,0,-24.88464,29.12392,
21880107,Geodverwacht                                                                                                                                          ,2426DA_10           ,0,-24.56422,26.71803,
21887004,Haringdrif                                                                                                                                            ,2429CC_13           ,0,-24.88794,29.11845,
21837785,Silo                                                                                                                                                  ,2429AA_2            ,0,-24.00993,29.08024,
12504851,Ofcolaco                                                                                                                                              ,2430AB_13           ,0,-24.10055,30.38196,
21837883,Marico                                                                                                                                                ,2426BD_16           ,0,-24.43547,26.75,
21870864,Noord Brabant                                                                                                                                         ,2426DB_11           ,0,-24.63744,26.77963,
21888391,Pretoria                                                                                                                                              ,2426DC_3            ,0,-24.76661,26.61478,
20647174,Happy Rest                                                                                                                                            ,2329DD_14           ,0,-23.86763,29.92526,
20647175,Seodon                                                                                                                                                ,2329DD_15           ,0,-23.85363,29.96093,
20647176,Bonny Brae                                                                                                                                            ,2329DD_15           ,0,-23.85864,29.98556,
20647177,Bultfontein                                                                                                                                           ,2329DD_15           ,0,-23.86773,29.99268,
20647178,Petersburg                                                                                                                                            ,2329DD_15           ,0,-23.89966,29.99309,
20647179,Appel                                                                                                                                                 ,2329DD_15           ,0,-23.89997,29.99589,
20647180,Phoenix                                                                                                                                               ,2329DD_15           ,0,-23.89493,29.9906,
20647181,Brakenhurt                                                                                                                                            ,2329DD_15           ,0,-23.89537,29.97969,
20647182,Merrick Waterval                                                                                                                                      ,2329DD_15           ,0,-23.89533,29.97021,
20647183,Appel                                                                                                                                                 ,2329DD_20           ,0,-23.90205,29.98707,
20647184,Cheerio                                                                                                                                               ,2329DD_15           ,0,-23.89571,29.95404,
20647185,Wegraakbos                                                                                                                                            ,2329DD_15           ,0,-23.8968,29.95736,
20647186,Waterval                                                                                                                                              ,2329DD_20           ,0,-23.90372,29.97732,
20647187,Lakeside                                                                                                                                              ,2329DD_20           ,0,-23.90928,29.97362,
20647188,Koningshof                                                                                                                                            ,2329DD_20           ,0,-23.90723,29.97987,
20647189,Glenogle                                                                                                                                              ,2329DD_20           ,0,-23.90472,29.98914,
20647190,Goedehoop                                                                                                                                             ,2329DD_20           ,0,-23.9139,29.98173,
20647191,Good Hope                                                                                                                                             ,2329DD_20           ,0,-23.91928,29.97411,
20647192,Cala - Mo                                                                                                                                             ,2329DD_20           ,0,-23.90496,29.98267,
20647193,Woodmere                                                                                                                                              ,2329DD_20           ,0,-23.91725,29.96626,
20647194,Chichester                                                                                                                                            ,2329DD_20           ,0,-23.91432,29.9613,
20647195,Goedehoop                                                                                                                                             ,2329DD_20           ,0,-23.9222,29.96942,
20647196,Bloemtuin                                                                                                                                             ,2329DD_20           ,0,-23.92702,29.96365,
20647197,Glensheil                                                                                                                                             ,2329DD_20           ,0,-23.92891,29.95887,
20647198,Consolata Estate                                                                                                                                      ,2329DD_20           ,0,-23.93962,29.96255,
20647199,Goedvertouwen                                                                                                                                         ,2329DD_19           ,0,-23.90187,29.94767,
20647200,Ametis                                                                                                                                                ,2329DD_20           ,0,-23.92023,29.9507,
20647201,Klipsruit                                                                                                                                             ,2329DD_19           ,0,-23.91065,29.92522,
20647202,Cooyong                                                                                                                                               ,2329DD_19           ,0,-23.93591,29.93887,
20647284,Brakfontein                                                                                                                                           ,2329DA_20           ,0,-23.6746,29.70337,
20647285,Skuinshoek                                                                                                                                            ,2329DA_19           ,0,-23.65653,29.66912,
20647286,Skuinshoek                                                                                                                                            ,2329DA_19           ,0,-23.66913,29.66907,
20647287,Skuinshoek                                                                                                                                            ,2329DA_19           ,0,-23.67899,29.67415,
20647288,Sandrivierspoort                                                                                                                                      ,2329DA_18           ,0,-23.6758,29.603,
20647289,Sandrivierspoort                                                                                                                                      ,2329DA_17           ,0,-23.67174,29.59481,
20647290,Rondewal                                                                                                                                              ,2329DA_17           ,0,-23.65648,29.59368,
20647291,Fort Klipdam                                                                                                                                          ,2329DA_16           ,0,-23.68862,29.50907,
20647292,Palmietkuil                                                                                                                                           ,2329DA_21           ,0,-23.74746,29.51886,
20647293,Kareebosch                                                                                                                                            ,2329DA_21           ,0,-23.74852,29.50172,
20647294,Kareebosch                                                                                                                                            ,2329DA_21           ,0,-23.73588,29.53604,
20647295,Kareebosch                                                                                                                                            ,2329DA_21           ,0,-23.7142,29.50695,
20647296,Fort Klipdam                                                                                                                                          ,2329DA_21           ,0,-23.71372,29.52365,
20647297,Fort Klipdam                                                                                                                                          ,2329DA_21           ,0,-23.71285,29.53462,
20647298,Fort Klipdam                                                                                                                                          ,2329DA_22           ,0,-23.71661,29.55568,
20647299,Fort Klipdam                                                                                                                                          ,2329DA_22           ,0,-23.72831,29.56455,
20647300,Papkuil                                                                                                                                               ,2329DA_22           ,0,-23.74887,29.56623,
20647301,Papkuil                                                                                                                                               ,2329DA_22           ,0,-23.73671,29.57417,
20647302,Watevreden                                                                                                                                            ,2329DA_22           ,0,-23.71668,29.59596,
20647303,Rietpol                                                                                                                                               ,2329DA_23           ,0,-23.73791,29.63927,
20647304,Bonaparte                                                                                                                                             ,2329DA_23           ,0,-23.7108,29.60113,
20647305,Vrede                                                                                                                                                 ,2329DA_23           ,0,-23.70634,29.61709,
20647306,Maroelaknop                                                                                                                                           ,2329DA_24           ,0,-23.74093,29.68157,
20647307,Uitval                                                                                                                                                ,2329DA_24           ,0,-23.70331,29.69838,
20647308,Bultfontein                                                                                                                                           ,2329DA_25           ,0,-23.70396,29.71168,
20647309,Bultfontein                                                                                                                                           ,2329DA_25           ,0,-23.71566,29.71295,
20647310,Bultfontein                                                                                                                                           ,2329DA_25           ,0,-23.72623,29.71387,
20647311,Bellvievue                                                                                                                                            ,2329BC_1            ,0,-23.25406,29.51002,
20647203,Schones Tal                                                                                                                                           ,2329DD_19           ,0,-23.92581,29.92968,
20647314,Kommissiedraai                                                                                                                                        ,2329BC_2            ,0,-23.27242,29.55243,
20647315,Jordaan                                                                                                                                               ,2329BC_2            ,0,-23.25662,29.58631,
20647316,Jordaan                                                                                                                                               ,2329BC_2            ,0,-23.26426,29.59053,
20647317,Ontevrede                                                                                                                                             ,2329BC_2            ,0,-23.26886,29.59482,
20647318,Ontevrede                                                                                                                                             ,2329BC_3            ,0,-23.2527,29.60445,
20647319,Ontevrede                                                                                                                                             ,2329BC_3            ,0,-23.25721,29.61448,
20647320,Bok                                                                                                                                                   ,2329BC_2            ,0,-23.2801,29.56435,
20647321,Swartkopjes                                                                                                                                           ,2329BC_2            ,0,-23.29175,29.58684,
20647322,Lady Brand                                                                                                                                            ,2329BC_3            ,0,-23.25716,29.64762,
20647323,Kalkfontein                                                                                                                                           ,2329BC_4            ,0,-23.27043,29.68589,
20647324,Drielingbosch                                                                                                                                         ,2329BC_4            ,0,-23.29256,29.69747,
20647325,Bosplaas                                                                                                                                              ,2329BC_5            ,0,-23.29342,29.70133,
20647326,Droogekraal                                                                                                                                           ,2329BC_5            ,0,-23.28099,29.73097,
20647327,Potgietersrand                                                                                                                                        ,2329BC_5            ,0,-23.27594,29.72224,
20647328,Bosplaas                                                                                                                                              ,2329BC_5            ,0,-23.29113,29.72372,
20647313,Kommissiedraai                                                                                                                                        ,2329BC_1            ,0,-23.29806,29.53461,
20647330,Bultfontein                                                                                                                                           ,2329BC_10           ,0,-23.30567,29.73958,
20647331,Draailoop                                                                                                                                             ,2329BC_9            ,0,-23.34609,29.66977,
20647332,Bonne Esperance                                                                                                                                       ,2329BC_9            ,0,-23.33499,29.6508,
20647333,Legkraal                                                                                                                                              ,2329BC_8            ,0,-23.34722,29.60505,
20647334,Mooimeisiesdraai                                                                                                                                      ,2329BC_8            ,0,-23.32427,29.63736,
20647335,Petronella                                                                                                                                            ,2329BC_8            ,0,-23.33912,29.60778,
20647336,Lemoenfontein                                                                                                                                         ,2329BC_6            ,0,-23.3148,29.54504,
20647337,Lemoenfontein                                                                                                                                         ,2329BC_7            ,0,-23.30348,29.55199,
20647338,Swartkopjes                                                                                                                                           ,2329BC_7            ,0,-23.3001,29.56943,
20647339,Swartkopjes                                                                                                                                           ,2329BC_7            ,0,-23.30926,29.57154,
20647340,Legkraal                                                                                                                                              ,2329BC_7            ,0,-23.33742,29.56575,
20647341,Enkelput                                                                                                                                              ,2329BC_6            ,0,-23.33273,29.54219,
20647342,Laagpan                                                                                                                                               ,2329BC_6            ,0,-23.33964,29.53743,
20647343,Boerlands                                                                                                                                             ,2329BC_6            ,0,-23.32917,29.52177,
20647344,Wildebeest                                                                                                                                            ,2329BC_6            ,0,-23.3217,29.50244,
20647345,Wildebeest                                                                                                                                            ,2329BC_6            ,0,-23.34269,29.51472,
20647346,Nooienslaagte                                                                                                                                         ,2329BC_11           ,0,-23.36375,29.5091,
20647347,Nooienslaagte                                                                                                                                         ,2329BC_11           ,0,-23.36137,29.51956,
20647348,Eendekuil                                                                                                                                             ,2329BC_11           ,0,-23.38822,29.53232,
20647349,Gelykveld                                                                                                                                             ,2329BC_11           ,0,-23.39381,29.54849,
20647350,Dorsfontein                                                                                                                                           ,2329BC_16           ,0,-23.40206,29.53194,
20647351,Draaifontein                                                                                                                                          ,2329BC_11           ,0,-23.39355,29.50524,
20647352,Legkraal                                                                                                                                              ,2329BC_12           ,0,-23.37153,29.55926,
20647353,Ganspan                                                                                                                                               ,2329BC_12           ,0,-23.37864,29.56414,
20647354,Skoonlaagte                                                                                                                                           ,2329BC_12           ,0,-23.39283,29.58693,
20647355,Vaalkoppies                                                                                                                                           ,2329BC_12           ,0,-23.39025,29.57475,
20647357,Ganspoort                                                                                                                                             ,2329BC_13           ,0,-23.37946,29.6436,
20647394,Doornbult                                                                                                                                             ,2329CD_5            ,0,-23.78037,29.46789,
20647395,Doornbult                                                                                                                                             ,2329CD_5            ,0,-23.77811,29.48017,
20647396,Doornbult                                                                                                                                             ,2329CD_5            ,0,-23.79418,29.47922,
20647397,Doornbult                                                                                                                                             ,2329CD_9            ,0,-23.80559,29.43342,
20647398,Doornbult                                                                                                                                             ,2329CD_10           ,0,-23.80082,29.48759,
20647399,Doornbult                                                                                                                                             ,2329CD_10           ,0,-23.80674,29.48901,
20647400,Doornbult                                                                                                                                             ,2329CD_10           ,0,-23.81002,29.49789,
20647401,Doornbult                                                                                                                                             ,2329CD_10           ,0,-23.80714,29.47298,
20647402,Doornbult                                                                                                                                             ,2329CD_10           ,0,-23.82328,29.46619,
20647403,Tweefontein                                                                                                                                           ,2329CD_10           ,0,-23.81941,29.49486,
20647404,Tweefontein                                                                                                                                           ,2329CD_10           ,0,-23.83512,29.49716,
20647405,Tweefontein                                                                                                                                           ,2329CD_10           ,0,-23.84107,29.49193,
20647406,Tweefontein                                                                                                                                           ,2329CD_15           ,0,-23.85122,29.48812,
20647407,Tweefontein                                                                                                                                           ,2329CD_10           ,0,-23.84489,29.48396,
20647409,Palmietfontein                                                                                                                                        ,2329CD_10           ,0,-23.83259,29.46368,
20647410,Palmietfontein                                                                                                                                        ,2329CD_10           ,0,-23.82348,29.47384,
20647411,Palmietfontein                                                                                                                                        ,2329CD_10           ,0,-23.82759,29.47945,
20647412,Palmietfontein                                                                                                                                        ,2329CD_10           ,0,-23.83746,29.47713,
20647413,Palmeitfontein                                                                                                                                        ,2329CD_10           ,0,-23.84175,29.46795,
20647414,Palmietfontein                                                                                                                                        ,2329CD_10           ,0,-23.84801,29.46555,
20647415,Vredelus                                                                                                                                              ,2329CD_10           ,0,-23.8495,29.47766,
20647416,Verinas                                                                                                                                               ,2329CD_10           ,0,-23.84218,29.4856,
20647417,Doornbult                                                                                                                                             ,2329CD_5            ,0,-23.78434,29.46349,
20647418,Naranata                                                                                                                                              ,2329CD_4            ,0,-23.79066,29.44702,
20647419,Pelgrimshoop                                                                                                                                          ,2329CD_9            ,0,-23.82734,29.43571,
20647420,Doornkraal                                                                                                                                            ,2329CD_9            ,0,-23.84469,29.43407,
20647422,Doornkraal                                                                                                                                            ,2329CD_9            ,0,-23.84725,29.41643,
20647329,Potgietersrand                                                                                                                                        ,2329BC_5            ,0,-23.2759,29.71452,
20647424,Palmietgat                                                                                                                                            ,2329CD_9            ,0,-23.82887,29.41464,
20647425,Vlaklaagte                                                                                                                                            ,2329CD_9            ,0,-23.80543,29.41478,
20647426,Van Tondershoek                                                                                                                                       ,2329CD_6            ,0,-23.83955,29.26953,
20647427,Bultfontein                                                                                                                                           ,2329CD_6            ,0,-23.84986,29.28282,
20647428,Bultfontein                                                                                                                                           ,2329CD_11           ,0,-23.86473,29.27599,
20647429,Johnstonstrust                                                                                                                                        ,2329CD_11           ,0,-23.8663,29.25811,
20647430,Tweefontein                                                                                                                                           ,2329CD_11           ,0,-23.87801,29.26523,
20647431,Tweefontein                                                                                                                                           ,2329CD_11           ,0,-23.89793,29.25317,
20647432,Groottedors                                                                                                                                           ,2329CD_11           ,0,-23.8943,29.27644,
20647433,Uitkyk                                                                                                                                                ,2329CD_12           ,0,-23.85612,29.31342,
20647434,Rietfontein                                                                                                                                           ,2329CD_12           ,0,-23.89206,29.32739,
20647435,Moreson                                                                                                                                               ,2329CD_13           ,0,-23.88969,29.39163,
20647436,Morgenson                                                                                                                                             ,2329CD_13           ,0,-23.89218,29.36108,
20647437,Strydomshoek                                                                                                                                          ,2329CD_13           ,0,-23.87792,29.35631,
20647438,Leeuwkuil                                                                                                                                             ,2329CD_13           ,0,-23.89954,29.39302,
20647439,Leeuwkuil                                                                                                                                             ,2329CD_18           ,0,-23.90042,29.38445,
20647440,Doornkraal                                                                                                                                            ,2329CD_14           ,0,-23.85704,29.42271,
20647441,Doornkraal                                                                                                                                            ,2329CD_14           ,0,-23.85618,29.43028,
20647442,Doornkraal                                                                                                                                            ,2329CD_14           ,0,-23.86374,29.41995,
20647443,Doornkraal                                                                                                                                            ,2329CD_14           ,0,-23.86848,29.43864,
20647445,Doornkraal                                                                                                                                            ,2329CD_14           ,0,-23.86851,29.42093,
20647446,Doornkraal                                                                                                                                            ,2329CD_14           ,0,-23.86842,29.42751,
20647447,Tweefontein                                                                                                                                           ,2329CD_15           ,0,-23.85495,29.48641,
20647448,Tweefontein                                                                                                                                           ,2329CD_15           ,0,-23.85483,29.47959,
20647449,Tweefontein                                                                                                                                           ,2329CD_15           ,0,-23.8576,29.48487,
20647450,Tweefontein                                                                                                                                           ,2329CD_15           ,0,-23.85981,29.47725,
20647452,Tweefontein                                                                                                                                           ,2329CD_15           ,0,-23.86936,29.49414,
20647358,Haakdoom                                                                                                                                              ,2329BC_15           ,0,-23.39771,29.74096,
20647454,Maureen                                                                                                                                               ,2329CD_15           ,0,-23.89516,29.47965,
20647455,Leruleng                                                                                                                                              ,2329CD_15           ,0,-23.85526,29.49686,
20647456,Uniepark                                                                                                                                              ,2329CD_20           ,0,-23.9372,29.47275,
20647457,Palmietfontein                                                                                                                                        ,2329CD_25           ,0,-23.99624,29.498,
20647458,Palmietfontein                                                                                                                                        ,2329CD_25           ,0,-23.97601,29.46628,
20647459,Palmietfontein                                                                                                                                        ,2329CD_25           ,0,-23.97355,29.45994,
20647460,Palmietfontein                                                                                                                                        ,2329CD_25           ,0,-23.98099,29.46068,
20647461,Palmietfontein                                                                                                                                        ,2329CD_25           ,0,-23.96605,29.45478,
20647462,Palmietfontein                                                                                                                                        ,2329CD_25           ,0,-23.96267,29.45422,
20647463,Palmietfontein                                                                                                                                        ,2329CD_24           ,0,-23.98155,29.44995,
20647464,Palmietfontein                                                                                                                                        ,2329CD_25           ,0,-23.9665,29.4527,
20647465,Palmietfontein                                                                                                                                        ,2329CD_25           ,0,-23.96378,29.45226,
20647466,Roodepoort                                                                                                                                            ,2329CD_24           ,0,-23.99268,29.434,
20647467,Langdale                                                                                                                                              ,2329CD_24           ,0,-23.96027,29.44703,
20647468,Roodepoort                                                                                                                                            ,2329CD_24           ,0,-23.95935,29.43504,
20647469,Roodepoort                                                                                                                                            ,2329CD_24           ,0,-23.95462,29.42926,
20647423,Doornkraal                                                                                                                                            ,2329CD_14           ,0,-23.85076,29.41372,
20647471,Roodepoort                                                                                                                                            ,2329CD_24           ,0,-23.96734,29.41832,
20647472,Roodepoort                                                                                                                                            ,2329CD_24           ,0,-23.96759,29.43756,
20647473,Roodepoort                                                                                                                                            ,2329CD_19           ,0,-23.94982,29.42508,
20647474,Rietfontein                                                                                                                                           ,2329CD_24           ,0,-23.98664,29.40801,
20647475,Rietfontein                                                                                                                                           ,2329CD_24           ,0,-23.99457,29.40892,
20647476,Rietfontein                                                                                                                                           ,2329CD_23           ,0,-23.99053,29.39859,
20647477,Rietfontein                                                                                                                                           ,2329CD_23           ,0,-23.9809,29.39464,
20647478,Rietfontein                                                                                                                                           ,2329CD_24           ,0,-23.97927,29.4074,
20647479,Rietfontein                                                                                                                                           ,2329CD_23           ,0,-23.97511,29.39698,
20647480,Rietfontein                                                                                                                                           ,2329CD_24           ,0,-23.97394,29.40394,
20647481,Rietfontein                                                                                                                                           ,2329CD_23           ,0,-23.96815,29.39286,
20647482,Rietfontein                                                                                                                                           ,2329CD_24           ,0,-23.96007,29.4176,
20647483,Ellenhof                                                                                                                                              ,2329CD_23           ,0,-23.9762,29.36357,
20647484,Zandrivier                                                                                                                                            ,2329CD_23           ,0,-23.99392,29.35817,
20647453,Tweefontein                                                                                                                                           ,2329CD_15           ,0,-23.86731,29.48414,
20647972,Jakkalsfontein                                                                                                                                        ,2228CB_20           ,0,-22.65641,28.49406,
20647973,Jakkalsfontein                                                                                                                                        ,2228CB_20           ,0,-22.68852,28.47326,
20647470,Roodepoort                                                                                                                                            ,2329CD_24           ,0,-23.96107,29.42656,
20647486,Sandrivier                                                                                                                                            ,2329CD_22           ,0,-23.99212,29.34648,
20647487,Hofheim                                                                                                                                               ,2329CD_22           ,0,-23.97403,29.34119,
20647488,Thorncastle                                                                                                                                           ,2329CD_22           ,0,-23.95833,29.31597,
20647489,Thorncastle                                                                                                                                           ,2329CD_22           ,0,-23.95226,29.33139,
20647490,Thorncastle                                                                                                                                           ,2329CD_17           ,0,-23.94531,29.3263,
20647491,Doornspruit                                                                                                                                           ,2329CD_17           ,0,-23.94352,29.31558,
20647492,Doornspruit                                                                                                                                           ,2329CD_17           ,0,-23.94031,29.33237,
